id_cliente,eta,segmento,anzianita_mesi,num_prodotti,stipendio_accreditato,ha_carta_credito,ha_mutuo,ha_investimenti,saldo_medio_eur,patrimonio_gestito_eur,canale_preferito,accessi_app_mese,transazioni_mese,giorni_ultima_operazione,variazione_saldo_3m_pct,reclami_12m,nps,note_gestore,abbandono
CL000001,25,affluent,163,2,1,0,0,1,7215.65,85176.49,app,13,10,12,-20.9,0,4.9,,0
CL000002,71,mass,113,4,1,0,0,0,14998.97,0.0,app,14,16,13,2.1,1,5.7,Ha accennato alla possibilita' di trasferire i dossier titoli a un altro istituto.,1
CL000003,63,affluent,84,2,1,0,0,1,9918.13,108634.29,app,10,9,9,-17.6,0,4.8,,0
CL000004,48,affluent,90,4,1,1,0,1,22298.45,179312.07,app,12,21,8,0.6,0,6.3,"Ha apprezzato il nuovo servizio dell'app, esperienza complessivamente buona.",0
CL000005,48,mass,277,3,1,0,1,0,2546.39,0.0,web,3,15,16,3.6,0,3.4,,0
CL000006,76,affluent,117,5,1,1,1,0,20411.31,0.0,app,7,20,8,-4.1,0,6.2,,0
CL000007,25,affluent,137,6,1,1,0,1,12035.33,12400.31,app,19,24,7,-1.3,0,5.2,Ha ridotto l'operativita' e valuta di spostare la liquidita' altrove.,0
CL000008,66,private,94,2,1,1,0,1,253735.76,1520505.16,filiale,2,10,15,12.8,0,7.3,,0
CL000009,33,mass,60,1,0,1,0,1,4913.5,2786.7,web,7,4,13,-8.9,0,7.1,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000010,26,mass,106,2,0,1,0,1,10778.28,11467.25,app,22,7,14,2.5,0,7.9,,0
CL000011,54,mass,42,2,0,1,1,0,2570.22,0.0,app,14,6,10,-25.2,0,9.5,,0
CL000012,84,mass,319,4,1,1,0,0,30324.75,0.0,filiale,1,16,11,4.8,0,9.6,Interessato a una consulenza sulla previdenza integrativa.,0
CL000013,68,mass,67,2,0,0,0,1,800.96,3722.55,app,7,9,6,17.4,0,6.7,,0
CL000014,70,mass,81,1,1,0,0,1,1067.82,4454.52,filiale,0,13,15,11.3,0,7.4,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000015,67,mass,136,2,1,0,0,0,21542.36,0.0,web,1,14,19,-1.3,1,4.5,,0
CL000016,71,affluent,147,5,0,0,0,1,40880.03,133599.86,web,1,10,7,-3.3,1,6.0,,0
CL000017,53,mass,108,4,1,0,0,0,6046.58,0.0,app,16,20,9,21.9,0,9.8,Ha ridotto l'operativita' e valuta di spostare la liquidita' altrove.,0
CL000018,28,mass,34,1,1,0,0,0,6556.08,0.0,filiale,6,13,12,9.3,0,5.7,,0
CL000019,75,mass,186,2,1,0,0,0,7435.99,0.0,app,12,13,8,2.5,0,10.0,,0
CL000020,49,mass,83,3,0,1,0,0,5824.28,0.0,filiale,5,6,8,9.6,0,3.8,Ha menzionato un'offerta ricevuta da una banca online con canone azzerato.,1
CL000021,53,mass,55,3,0,1,0,0,1864.38,0.0,app,15,8,15,-5.0,0,7.7,,0
CL000022,44,mass,98,3,1,1,0,0,9287.01,0.0,app,12,15,10,-0.1,0,5.9,,0
CL000023,32,mass,69,4,1,1,1,0,8059.53,0.0,web,3,15,8,-7.1,0,3.2,Valuta l'apertura di un conto cointestato con il coniuge.,0
CL000024,81,mass,194,4,1,0,0,0,16084.12,0.0,app,7,8,10,12.3,2,6.9,,0
CL000025,71,mass,117,3,1,1,0,0,21759.74,0.0,app,7,18,14,-9.7,0,7.5,,0
CL000026,62,mass,110,1,1,0,0,1,5987.5,7338.56,app,16,12,18,-4.5,0,8.2,,0
CL000027,46,mass,130,2,1,1,1,1,1473.22,19141.09,filiale,6,14,12,6.5,0,6.0,,1
CL000028,74,mass,92,2,0,0,0,0,21922.54,0.0,app,11,5,15,-29.3,0,8.8,Malcontento espresso dopo l'aumento del canone annuo.,1
CL000029,55,mass,115,6,0,1,0,0,1778.75,0.0,app,18,16,10,-8.1,1,5.5,,0
CL000030,49,mass,67,2,1,1,1,1,6027.98,12592.2,app,11,8,13,-9.7,2,6.9,,1
CL000031,49,mass,91,1,1,0,0,0,3529.6,0.0,web,4,7,15,3.4,3,3.2,,1
CL000032,34,affluent,29,7,0,1,1,0,18109.59,0.0,web,4,12,9,3.2,0,9.1,Valuta l'apertura di un conto cointestato con il coniuge.,0
CL000033,26,private,41,4,1,0,0,1,265419.66,791108.42,app,17,14,17,24.9,0,,,0
CL000034,56,affluent,82,7,1,1,0,1,33248.77,33055.95,app,10,25,11,-10.1,1,9.0,,0
CL000035,78,mass,130,5,1,0,0,1,7058.0,13395.7,web,0,17,6,-17.1,0,8.1,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000036,24,mass,155,1,0,0,0,0,2134.28,0.0,app,22,12,19,15.5,1,8.3,Interessato a una consulenza sulla previdenza integrativa.,0
CL000037,76,mass,145,4,1,0,0,1,3802.19,15527.88,filiale,0,15,18,-6.7,0,8.0,,0
CL000038,74,affluent,117,1,1,0,1,1,13348.75,27245.06,app,10,6,10,2.6,0,9.0,Insoddisfatto dei tempi di risposta dell'assistenza dopo l'ultima richiesta.,0
CL000039,38,affluent,59,3,0,0,0,1,22305.64,707580.95,app,11,8,11,-5.1,0,7.6,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000040,61,affluent,86,3,1,1,0,1,23977.56,467057.55,app,11,12,14,8.3,0,7.6,,0
CL000041,30,affluent,63,5,0,1,1,1,140313.32,132314.38,web,6,7,17,5.1,0,9.7,,0
CL000042,70,mass,174,1,1,0,0,0,3521.18,0.0,app,11,15,16,-3.5,0,,,0
CL000043,66,affluent,107,4,1,1,0,1,3939.15,61376.35,app,6,13,15,1.2,0,4.6,,0
CL000044,43,affluent,151,5,1,0,0,0,93652.07,0.0,app,15,13,8,-4.9,0,8.1,Valuta l'apertura di un conto cointestato con il coniuge.,0
CL000045,24,mass,65,3,0,1,0,1,6663.06,8746.95,app,17,8,16,1.6,0,9.8,,0
CL000046,84,affluent,198,4,1,1,0,0,23714.69,0.0,app,9,9,14,-4.4,0,7.5,,0
CL000047,49,mass,245,1,1,0,1,1,3000.42,178424.82,app,17,11,8,18.5,0,7.4,,0
CL000048,78,private,124,4,1,1,0,1,56895.09,98189.97,web,0,20,7,-2.3,0,6.5,,0
CL000049,64,affluent,71,5,0,1,0,0,152665.23,0.0,app,15,9,13,-4.5,0,,Nessuna criticita' segnalata nell'ultimo contatto telefonico.,0
CL000050,71,mass,104,2,0,0,0,0,4659.49,0.0,app,9,9,8,-20.6,1,4.8,Interessato a una consulenza sulla previdenza integrativa.,0
CL000051,70,mass,124,1,0,0,0,0,930.78,0.0,filiale,0,8,13,-12.0,0,,,0
CL000052,32,mass,166,5,1,0,0,0,5972.77,0.0,web,1,13,11,8.1,1,3.8,,0
CL000053,44,affluent,183,3,1,1,0,1,79008.76,74051.02,filiale,9,12,12,-1.0,1,2.8,Interessato a una consulenza sulla previdenza integrativa.,0
CL000054,50,affluent,80,3,1,1,1,0,30716.36,0.0,app,11,22,10,-3.0,0,7.3,,0
CL000055,52,mass,118,4,1,0,0,1,1975.48,21587.47,app,17,19,11,9.8,2,6.6,,0
CL000056,22,affluent,113,3,0,1,0,0,10935.75,0.0,app,15,11,16,16.7,2,2.4,,0
CL000057,56,mass,84,2,0,0,0,0,1947.72,0.0,filiale,1,8,15,-9.2,0,10.0,,1
CL000058,30,mass,138,5,1,1,0,0,17491.88,0.0,filiale,7,13,15,-1.8,0,9.0,,0
CL000059,69,mass,126,1,0,1,0,0,4169.3,0.0,web,1,12,9,-24.1,0,7.8,Interessato a una consulenza sulla previdenza integrativa.,0
CL000060,65,mass,81,1,1,0,0,0,981.56,0.0,app,13,16,16,12.5,0,10.0,,0
CL000061,80,mass,166,2,1,1,0,0,6283.74,0.0,web,0,12,13,35.2,0,6.7,,0
CL000062,69,mass,97,3,1,1,0,0,5048.94,0.0,filiale,0,15,11,-3.2,0,7.5,,0
CL000063,44,mass,52,1,1,1,0,0,2969.04,0.0,web,4,13,6,-3.5,0,4.5,,0
CL000064,83,mass,219,3,1,0,0,0,1775.14,0.0,filiale,0,17,12,0.0,0,7.6,,0
CL000065,47,affluent,89,2,1,1,0,1,10242.02,68315.85,web,3,12,13,3.9,0,8.5,"Ha apprezzato il nuovo servizio dell'app, esperienza complessivamente buona.",0
CL000066,41,mass,360,4,0,1,0,0,11824.99,0.0,app,9,10,7,4.4,0,6.9,Nessuna criticita' segnalata nell'ultimo contatto telefonico.,0
CL000067,79,affluent,131,2,0,1,0,1,33340.26,20735.64,filiale,0,8,17,4.3,0,7.0,,0
CL000068,44,mass,221,1,1,0,1,0,6841.62,0.0,app,14,8,9,-15.7,0,5.3,,0
CL000069,25,mass,313,5,0,0,1,0,5542.95,0.0,filiale,6,11,14,0.3,1,9.0,,0
CL000070,50,mass,59,2,1,0,0,1,5972.49,12319.48,app,10,13,14,8.7,0,4.1,,0
CL000071,72,mass,82,3,1,1,0,1,2917.39,21324.79,web,0,9,14,-13.3,0,10.0,"Cliente soddisfatto, interessato a valutare nuovi prodotti di investimento.",0
CL000072,32,mass,42,2,1,1,0,0,3695.07,0.0,app,15,16,10,-15.3,2,3.8,"Cliente fidelizzato, ha incrementato la liquidita' depositata.",0
CL000073,50,mass,67,1,1,0,0,1,12688.11,3508.77,app,16,11,8,-5.7,1,3.3,,0
CL000074,28,mass,186,1,1,1,0,0,15885.01,0.0,filiale,9,8,10,3.1,0,7.0,,0
CL000075,65,mass,95,2,0,1,0,1,1480.47,21660.83,web,2,6,15,8.5,0,7.1,Lamentele ripetute sulle commissioni applicate sul conto corrente.,1
CL000076,51,mass,46,3,0,0,0,1,3687.0,6607.08,filiale,2,7,16,10.4,0,7.6,"Cliente fidelizzato, ha incrementato la liquidita' depositata.",0
CL000077,41,mass,97,1,1,1,0,1,9465.01,4462.25,web,2,9,15,-9.4,1,,Valuta l'apertura di un conto cointestato con il coniuge.,0
CL000078,34,affluent,58,1,1,1,0,0,145165.71,0.0,app,23,9,10,-21.6,0,10.0,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
